,Area,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
91," Mount Colah, NSW, Australia",-33.6719686,151.1145291,1,0,0,4,1,3,4,0,4,2
92," Cowan, NSW, Australia",-33.588829700000005,151.16985680000002,0,1,0,2,0,4,3,0,0,1
93," Waitara, NSW, Australia",-33.7094453,151.1055581,13,4,3,29,4,10,26,6,47,9
94," Westleigh, NSW, Australia",-33.715,151.06777780000002,1,0,0,4,0,5,4,1,4,0
95," Laughtondale, NSW, Australia",-33.4224715,151.0267219,0,0,0,0,0,0,0,0,0,0
96,"Cherrybrook, NSW, Australia",-33.722777799999996,151.0461111,0,2,0,10,0,4,6,0,5,3
97," Woolwich, NSW, Australia",-33.840198799999996,151.1710614,3,2,0,5,4,6,2,0,1,4
98,"Hurstville, NSW, Australia",-33.960707,151.10036110000001,9,5,1,44,4,7,32,3,45,6
99," Penshurst, NSW, Australia",-33.964829200000004,151.08495249999999,2,2,0,28,4,6,10,2,8,4
100," Beverly Hills, NSW, Australia",-33.94974439999999,151.0817342,1,1,0,21,2,4,6,0,16,3
101," Lugarno, NSW, Australia",-33.9823958,151.0450193,0,0,0,4,0,2,6,0,4,1
102,"Riverwood, NSW, Australia",-33.9472222,151.0530556,0,1,0,17,1,5,7,2,9,4
103," Hurstville Grove, NSW, Australia",-33.9775526,151.09295790000002,3,1,0,4,0,5,1,0,4,1
104," Blakehurst, NSW, Australia",-33.9898519,151.10855959999998,2,2,0,4,1,7,4,0,3,4
105,"Kogarah, NSW, Australia",-33.968226,151.1354509,4,5,0,28,4,10,27,0,17,7
106," Allawah, NSW, Australia",-31.928801500000002,149.5125411,0,0,0,0,0,0,0,0,0,0
107," Killara, NSW, Australia",-33.7660606,151.1601121,2,4,0,5,1,1,4,0,2,1
